epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,789.504,0.38292,0.47822,0.28796,0.9149,0.99546,1,0.99328,0.94727,0.99546,1,0.99328,0.91075,0.31497,0.50221,0.29556,0.82122,0.0013466,0.0013466,0.0013466
68,801.586,0.38249,0.51053,0.29363,0.92604,0.99576,1,0.99427,0.95523,0.99576,1,0.99427,0.90899,0.31561,0.47549,0.29746,0.81755,0.0013367,0.0013367,0.0013367
69,812.136,0.39741,0.55274,0.28787,0.93984,0.99576,1,0.99423,0.954,0.99576,1,0.99423,0.91234,0.3362,0.46963,0.30212,0.83018,0.0013268,0.0013268,0.0013268
70,823.123,0.3679,0.48318,0.28052,0.92867,0.99552,1,0.99393,0.95329,0.99552,1,0.99393,0.90446,0.31189,0.48349,0.28324,0.81781,0.0013169,0.0013169,0.0013169
71,835.77,0.36717,0.48539,0.27214,0.91773,0.99469,1,0.99404,0.96161,0.99469,1,0.99404,0.91417,0.30815,0.48319,0.26735,0.80599,0.001307,0.001307,0.001307
72,845.505,0.36856,0.49596,0.27613,0.91242,0.9945,1,0.99416,0.95735,0.9945,1,0.99416,0.9165,0.29667,0.45659,0.26874,0.80412,0.0012971,0.0012971,0.0012971
73,857.572,0.35194,0.45967,0.26903,0.91659,0.99586,1,0.99423,0.95491,0.99586,1,0.99423,0.91896,0.31215,0.4677,0.2748,0.81881,0.0012872,0.0012872,0.0012872
74,868.6,0.35504,0.49074,0.2702,0.91495,0.99593,1,0.99301,0.95445,0.99593,1,0.99301,0.92134,0.30069,0.49964,0.25886,0.82199,0.0012773,0.0012773,0.0012773
75,879.634,0.36205,0.50097,0.26662,0.92192,0.99594,1,0.9922,0.95934,0.99594,1,0.9922,0.93141,0.29972,0.45734,0.25285,0.81617,0.0012674,0.0012674,0.0012674
76,891.99,0.35733,0.47018,0.27241,0.92587,0.99586,1,0.99297,0.96526,0.99586,1,0.99297,0.93233,0.2873,0.45978,0.24331,0.80338,0.0012575,0.0012575,0.0012575
77,902.627,0.36464,0.4686,0.26799,0.91542,0.99585,1,0.99423,0.95695,0.99585,1,0.99423,0.91927,0.30777,0.47528,0.24741,0.80476,0.0012476,0.0012476,0.0012476
78,914.788,0.35314,0.48305,0.2629,0.91785,0.99589,1,0.99408,0.96615,0.99589,1,0.99408,0.92763,0.29402,0.45323,0.25541,0.80065,0.0012377,0.0012377,0.0012377
79,925.851,0.36188,0.45824,0.26977,0.92293,0.99594,1,0.99308,0.96594,0.99594,1,0.99308,0.93283,0.29856,0.44688,0.25337,0.80763,0.0012278,0.0012278,0.0012278
80,937.14,0.35031,0.4403,0.26125,0.91689,0.99592,1,0.99236,0.96759,0.99592,1,0.99236,0.92251,0.29496,0.48064,0.25555,0.80396,0.0012179,0.0012179,0.0012179
81,948.993,0.35809,0.49484,0.26101,0.92069,0.9959,1,0.99239,0.96645,0.9959,1,0.99239,0.92507,0.28958,0.43868,0.25322,0.80623,0.001208,0.001208,0.001208
82,959.135,0.36172,0.46414,0.26384,0.92572,0.99588,1,0.99381,0.96088,0.99588,1,0.99381,0.92769,0.29008,0.43474,0.25651,0.80713,0.0011981,0.0011981,0.0011981
83,971.077,0.34972,0.46309,0.26558,0.91918,0.99586,1,0.99335,0.95701,0.99586,1,0.99335,0.92321,0.29285,0.46769,0.24891,0.8078,0.0011882,0.0011882,0.0011882
84,982.883,0.33707,0.4351,0.26164,0.90694,0.99587,1,0.99324,0.95602,0.99587,1,0.99324,0.9164,0.28901,0.47838,0.24837,0.80636,0.0011783,0.0011783,0.0011783
85,993.149,0.36657,0.47358,0.26402,0.92333,0.99584,1,0.9937,0.96044,0.99584,1,0.9937,0.92287,0.28894,0.44223,0.24443,0.80717,0.0011684,0.0011684,0.0011684
86,1005.34,0.35052,0.44431,0.25875,0.90989,0.99592,1,0.99408,0.96564,0.99592,1,0.99408,0.93288,0.29526,0.44067,0.24565,0.81552,0.0011585,0.0011585,0.0011585
87,1015.6,0.36305,0.45381,0.26289,0.917,0.99592,1,0.99366,0.96567,0.99592,1,0.99366,0.93011,0.28864,0.46326,0.24195,0.80651,0.0011486,0.0011486,0.0011486
88,1027.16,0.35472,0.45158,0.25455,0.92033,0.99595,1,0.99339,0.97015,0.99595,1,0.99339,0.94003,0.29906,0.44783,0.24172,0.80787,0.0011387,0.0011387,0.0011387
89,1040.08,0.3515,0.43971,0.25161,0.91528,0.99593,1,0.99393,0.96543,0.99593,1,0.99393,0.92347,0.30122,0.45986,0.24364,0.81331,0.0011288,0.0011288,0.0011288
90,1049.88,0.35774,0.43717,0.25549,0.91621,0.99591,1,0.99423,0.96926,0.99591,1,0.99423,0.93041,0.29601,0.44584,0.24361,0.8141,0.0011189,0.0011189,0.0011189
91,1062.01,0.34701,0.44366,0.24958,0.91404,0.99595,1,0.99374,0.96923,0.99595,1,0.99374,0.9336,0.2835,0.43524,0.23408,0.80485,0.001109,0.001109,0.001109
92,1072.75,0.34939,0.4476,0.24912,0.91439,0.99595,1,0.99435,0.96873,0.99595,1,0.99435,0.93729,0.30055,0.43086,0.23624,0.8052,0.0010991,0.0010991,0.0010991
93,1083.97,0.34244,0.46292,0.2482,0.90982,0.99594,1,0.99431,0.96899,0.99594,1,0.99431,0.93498,0.28827,0.43124,0.23946,0.80516,0.0010892,0.0010892,0.0010892
94,1096.04,0.35585,0.48804,0.25139,0.91633,0.99594,1,0.9945,0.9645,0.99594,1,0.9945,0.92162,0.28472,0.43419,0.23565,0.80152,0.0010793,0.0010793,0.0010793
95,1105.78,0.34867,0.46931,0.25273,0.91618,0.99573,1,0.99462,0.96112,0.99573,1,0.99462,0.92406,0.28385,0.43482,0.26038,0.79725,0.0010694,0.0010694,0.0010694
96,1118.12,0.33855,0.43024,0.24899,0.90476,0.99591,1,0.99446,0.9651,0.99591,1,0.99446,0.92269,0.28159,0.43946,0.23395,0.79326,0.0010595,0.0010595,0.0010595
97,1128.85,0.343,0.44509,0.24669,0.91105,0.99595,1,0.99439,0.97027,0.99595,1,0.99439,0.93421,0.27419,0.45598,0.2275,0.79393,0.0010496,0.0010496,0.0010496
98,1140.15,0.3397,0.43348,0.24529,0.90824,0.99594,1,0.99408,0.96563,0.99594,1,0.99408,0.92476,0.28137,0.46851,0.22417,0.79908,0.0010397,0.0010397,0.0010397
99,1152.44,0.345,0.45892,0.25482,0.91422,0.99592,1,0.99435,0.96549,0.99592,1,0.99435,0.9331,0.27493,0.45538,0.22392,0.79498,0.0010298,0.0010298,0.0010298
100,1162.25,0.34107,0.42569,0.2454,0.90827,0.99593,1,0.99404,0.96947,0.99593,1,0.99404,0.93472,0.28002,0.45454,0.22959,0.79944,0.0010199,0.0010199,0.0010199
101,1174.2,0.3339,0.44218,0.2457,0.91111,0.99594,1,0.9942,0.97028,0.99594,1,0.9942,0.92444,0.28385,0.44922,0.23263,0.79883,0.00101,0.00101,0.00101
102,1185.01,0.33712,0.43668,0.2421,0.90514,0.99595,1,0.994,0.97015,0.99595,1,0.994,0.93055,0.28135,0.44551,0.22109,0.80418,0.0010001,0.0010001,0.0010001
103,1196.19,0.33893,0.45151,0.24604,0.91718,0.99595,1,0.99389,0.972,0.99595,1,0.99389,0.93093,0.27726,0.43999,0.22946,0.80722,0.0009902,0.0009902,0.0009902
104,1208.65,0.33256,0.43415,0.24198,0.90791,0.99589,1,0.99412,0.96576,0.99589,1,0.99412,0.92983,0.2733,0.43767,0.22348,0.80328,0.0009803,0.0009803,0.0009803
105,1218.46,0.33436,0.44638,0.23975,0.9031,0.99594,1,0.99412,0.96975,0.99594,1,0.99412,0.92966,0.28567,0.43891,0.23196,0.80172,0.0009704,0.0009704,0.0009704
106,1230.58,0.34609,0.43781,0.25198,0.90988,0.99594,1,0.99389,0.97129,0.99594,1,0.99389,0.94213,0.28838,0.42023,0.22829,0.80015,0.0009605,0.0009605,0.0009605
107,1241.96,0.32209,0.41971,0.24436,0.90024,0.99565,1,0.9945,0.96477,0.99565,1,0.9945,0.92788,0.28372,0.42829,0.239,0.80078,0.0009506,0.0009506,0.0009506
108,1252.88,0.35086,0.45353,0.24604,0.90846,0.99524,1,0.99328,0.96553,0.99524,1,0.99328,0.9253,0.27862,0.43553,0.26006,0.80842,0.0009407,0.0009407,0.0009407
109,1265.11,0.34126,0.45326,0.24306,0.91427,0.99534,1,0.99381,0.96152,0.99534,1,0.99381,0.92853,0.28102,0.44107,0.26812,0.8107,0.0009308,0.0009308,0.0009308
110,1275.38,0.34591,0.45321,0.2398,0.90691,0.99573,1,0.99431,0.9683,0.99573,1,0.99431,0.92182,0.2749,0.43893,0.22826,0.80847,0.0009209,0.0009209,0.0009209
111,1287.37,0.33936,0.42872,0.23736,0.90507,0.99587,1,0.99443,0.96827,0.99587,1,0.99443,0.93021,0.28034,0.434,0.22176,0.80044,0.000911,0.000911,0.000911
112,1298.68,0.32546,0.41874,0.24127,0.89795,0.99595,1,0.99439,0.96624,0.99595,1,0.99439,0.9322,0.28489,0.44494,0.22966,0.80089,0.0009011,0.0009011,0.0009011
113,1309.1,0.32617,0.41694,0.23173,0.89765,0.99594,1,0.99435,0.96093,0.99594,1,0.99435,0.93292,0.28872,0.44294,0.22895,0.80089,0.0008912,0.0008912,0.0008912
114,1320.7,0.33749,0.43827,0.23544,0.91255,0.99592,1,0.99412,0.96677,0.99592,1,0.99412,0.92763,0.27225,0.44377,0.22297,0.79929,0.0008813,0.0008813,0.0008813
115,1330.92,0.35042,0.45866,0.24211,0.92018,0.99569,1,0.99397,0.96895,0.99569,1,0.99397,0.93598,0.28196,0.44153,0.22615,0.80257,0.0008714,0.0008714,0.0008714
